pollnum,statename,state,obama,romney,n,type,firm,firmnum,startm,endm,sday,eday
1,OH,36,50,38,1573,RV,NBC News/Marist,13,2,3,29,2
2,OH,36,38,44,505,RV,FOX News,1,2,2,11,13
3,OH,36,46,44,1421,RV,Quinnipiac,14,2,2,7,12
4,OH,36,45,41,500,LV,Rasmussen Reports,2,2,2,8,8
5,OH,36,49,42,820,RV,PPP,15,1,1,28,29
6,PA,39,46,40,1256,RV,Quinnipiac,14,3,3,7,12
7,PA,39,49,42,689,RV,PPP,15,3,3,8,11
8,PA,39,48,37,625,RV,Morning Call,16,2,2,15,21
9,PA,39,41,33,592,RV,Franklin & Marshall,17,2,2,14,20
10,PA,39,45,44,438,LV,Rasmussen Reports,2,2,2,8,23
11,PA,39,43,45,800,RV,Susquehanna,18,2,2,2,6
12,VA,48,52,35,1273,RV,NBC News/Marist,13,2,3,29,2
13,VA,48,49,43,500,LV,Rasmussen Reports,2,2,2,21,21
14,VA,48,42,43,607,A,Roanoke College,19,2,2,13,26
15,VA,48,43,46,1018,RV,CNU/Times-Dispatch,20,2,2,4,13
16,VA,48,47,43,1544,RV,Quinnipiac,14,2,2,1,6
17,VA,48,45,44,625,LV,Mason-Dixon,21,1,1,16,18
18,NC,34,49,46,804,RV,PPP,15,3,3,8,11
19,NC,34,47,46,1052,RV,PPP,15,2,2,3,5
20,NC,34,39,48,300,LV,Citivas,22,1,1,9,11
21,NC,34,46,45,780,RV,PPP,15,1,1,5,8
22,NH,30,50,40,495,LV,WMUR/UNH,23,1,2,25,2
23,MO,26,45,45,582,RV,PPP,15,1,1,27,29
24,IA,16,44,46,611,LV,Des Moines Register,24,2,2,12,15
25,FL,10,46,43,500,LV,Rasmussen Reports,2,3,3,13,13
26,FL,10,49,41,1379,RV,NBC News/Marist,13,1,1,25,27
27,FL,10,44,48,800,LV,Miami Herald/Mason-Dixon,25,1,1,24,26
28,FL,10,42,47,600,LV,Suffolk/7News,26,1,1,22,24
29,FL,10,45,45,1518,RV,Quinnipiac,14,1,1,19,23
30,AZ,3,40,51,500,LV,Rasmussen Reports,2,3,3,13,13
31,AZ,3,40,45,1265,RV,NBC News/Marist,13,2,2,19,20
32,AZ,3,47,47,743,RV,PPP,15,2,2,17,19
33,WI,50,47,42,500,LV,PPP,15,2,2,27,27
34,WI,50,53,39,900,RV,Rasmussen Reports,2,2,2,23,26
35,WI,50,53,38,716,RV,Marquette University,27,2,2,16,19
