state,statename,statename2,obama,kerry,gore
1,AL,Alabama,38.8,36.8,41.6
2,AK,Alaska,37.9,35.5,27.7
3,AZ,Arizona,45.1,44.4,44.7
4,AR,Arkansas,38.9,44.5,45.9
5,CA,California,61,54.3,53.5
6,CO,Colorado,53.7,47,42.4
7,CT,Connecticut,60.6,54.3,55.9
8,DC,District of Columbia,92.5,89.2,85.2
9,DE,Delaware,61.9,53.3,55
10,FL,Florida,51,47.1,48.8
11,GA,Georgia,47,41.4,43
12,HI,Hawaii,71.9,54,55.8
13,ID,Idaho,36.1,30.3,27.6
14,IL,Illinois,61.9,54.8,54.6
15,IN,Indiana,50,39.3,41.1
16,IA,Iowa,53.9,49.3,48.5
17,KS,Kansas,41.7,36.6,37.2
18,KY,Kentucky,41.2,39.7,41.4
19,LA,Louisiana,39.9,42.2,44.9
20,ME,Maine,57.7,53.6,49.1
21,MD,Maryland,61.9,56,56.6
22,MA,Massachusetts,61.8,62,59.8
23,MI,Michigan,57.4,51.2,51.3
24,MN,Minnesota,54.1,51.5,47.9
25,MS,Mississippi,43,40.1,40.7
26,MO,Missouri,49.3,46.1,47.1
27,MT,Montana,47.3,38.6,33.4
28,NE,Nebraska,41.6,32.7,33.3
29,NV,Nevada,54.1,48.1,46
30,NH,New Hampshire,54.1,50.4,46.8
31,NJ,New Jersey,57.3,53,56.1
32,NM,New Mexico,56.9,49,47.1
33,NY,New York,62.9,58.4,60.2
34,NC,North Carolina,49.7,43.6,43.2
35,ND,North Dakota,44.6,35.5,33.1
36,OH,Ohio,51.5,48.7,46.5
37,OK,Oklahoma,34.4,34.4,38.4
38,OR,Oregon,56.8,51.6,47
39,PA,Pennsylvania,54.6,51,50.6
40,RI,Rhode Island,63.1,59.4,61
41,SC,South Carolina,44.9,41,40.9
42,SD,South Dakota,44.8,38.4,37.6
43,TN,Tennessee,41.8,42.6,47.3
44,TX,Texas,43.7,38.2,38
45,UT,Utah,34.4,26.4,26.3
46,VT,Vermont,67.4,58.9,50.6
47,VA,Virginia,52.6,45.6,44.4
48,WA,Washington,57.7,52.8,10.1
49,WV,West Virginia,42.6,43.2,45.6
50,WI,Wisconsin,56.2,49.7,47.8
51,WY,Wyoming,32.5,29.1,27.7
